Provider;John Doe (SMHI)
CaseStudy;European Rivers
ForecastSystem;E-HYPE
ForecastType;Bias Correction 1
ModelVariable;Discharge
ScoreType;Brier Score
ScoreLeadTimeUnit;Month
VerificationPeriod;2000/01/01 2010/12/31
!
LocationID;River_names;Station_names;Latitude;Longitude;Score_Value;LeadTime
8000605;"River 120";"Station 120";47.0467674918473;8.07569141499698;0.257942386831276;5
8000605;"River 120";"Station 120";47.0467674918473;8.07569141499698;0.266502057613169;6
8000617;"River 121";"Station 121";46.9110316457227;6.21718879323453;0.177936507936508;1
8000617;"River 121";"Station 121";46.9110316457227;6.21718879323453;0.244938271604938;2
8000617;"River 121";"Station 121";46.9110316457227;6.21718879323453;0.259259259259259;3
8000617;"River 121";"Station 121";46.9110316457227;6.21718879323453;0.259423868312757;4
8000617;"River 121";"Station 121";46.9110316457227;6.21718879323453;0.234732510288066;5
8000617;"River 121";"Station 121";46.9110316457227;6.21718879323453;0.258765432098765;6
8000622;"River 122";"Station 122";46.9543831772171;0.800059414468706;0.893968253968254;1
8000622;"River 122";"Station 122";46.9543831772171;0.800059414468706;0.839670781893004;2
